ID,Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision
399,Adelaide Hospital,26.29427,-32.7009,District Hospital,Eastern Cape,Amathole District Municipality,Raymond Mhlaba Local Municipality,,"The hospital departments include Emergency department, Paediatric ward, Gynecology and Maternity ward, Out Patients Department, Surgical Services, Medical Services, Operating Theatre & Central Sterile Services Department Services, Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, Post Trauma Counseling Services, X-Ray Services, Laundry Services, Kitchen Services and Mortuary.",,60,,15,15,,3,1,,,,,ZA-EC
400,Bedford Hospital,26.083139,-32.6762,District Hospital,Eastern Cape,Amathole District Municipality,Amathole District Municipality,YES,"The hospital departments include Emergency department, Paediatric ward, Maternity ward, Out Patients Department, Surgical Services, Medical Services, Operating Theatre & CSSD Services, Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, PMTC & VCT, Post Trauma Counseling Services, Physiotherapy, X-Ray Services, Laundry Services, Kitchen Services and Mortuary.",,60,,0,0,,1,1,,,,,ZA-EC
401,Tower Psychiatric Hospital,26.63678,-32.7702,Specialised Hospital,Eastern Cape,Amathole District Municipality,Raymond Mhlaba Local Municipality,YES,"The hospital department includes rehabilitation centre, pharmacy, anti-retroviral (ARV) treatment for HIV/AIDS, laundry services, and kitchen service.",,600,,,,,,,,,,,ZA-EC
402,Victoria Alice Hospital,26.84678,-32.77527,District Hospital,Eastern Cape,Amathole District Municipality,Raymond Mhlaba Local Municipality,,"The hospital departments include endocrinology, emergency department, paediatric ward, maternity ward, obstetrics/gynecology, outpatients department, surgical services, medical services, operating theatre & CSSD Services, pharmacy, anti-retroviral (ARV) treatment for HIV/AIDS, post trauma counselling Services, X-ray services, physiotherapy, NHLS Laboratory, oral health care providers, laundry services, kitchen services and mortuary.",,193,,52,52,,3,3,,,,https://en.wikipedia.org/wiki/Victoria_Hospital_(Alice),ZA-EC
403,Winterberg TB Hospital,26.656323,-32.7793,Specialised Hospital,Eastern Cape,Amathole District Municipality,Raymond Mhlaba Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,106,,,,,,,,,,,ZA-EC
404,Fort Grey TB Hospital,27.82122,-33.022,Specialised Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,,TB and related services,,239,,,,,,,,,,,ZA-EC
405,Life Beacon Bay Hospital,27.939663,-32.9489,Private Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,Relevant Private Facility services – visit their website for more details,,168,,71,,,,6,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/east-london/life-beacon-bay-hospital/?nHospitalId=69,ZA-EC
406,Life East London Private Hospital,27.900134,-33.0125,Private Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,Relevant Private Facility services – visit their website for more details,,100,,0,,,,0,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/east-london/life-east-london-private-hospital/,ZA-EC
407,Life Grey Monument Clinic Hospital,27.397414,-32.8787,Private Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-EC
408,Life St Dominic's Hospital,27.90313,-32.9983,Private Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,Relevant Private Facility services – visit their website for more details,,183,,76,,,,5,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/east-london/life-st-dominics-hospital/,ZA-EC
409,Life St James Hospital,27.901072,-33.0009,Private Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,Relevant Private Facility services – visit their website for more details,,28,,28,,,,4,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/east-london/life-st-james-hospital/,ZA-EC
410,Life St Mark's Hospital,27.901159,-32.9977,Private Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://pasteurhospital.co.za/Hospitals/DisplayHospital.aspx?nHospitalId=63,ZA-EC
411,Newhaven Hospital,27.90592,-32.9828,Specialised Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,,Services for this public hospital could not be found at the time of recording this data.,,45,,0,0,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/newhaven_provincial_aided_chronic_sick_hospital_east_london_eastern_cape_south_africa,ZA-EC
412,NHN East London Eye Hospital,27.897928,-33.0019,Private Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://eyecentre.co.za/,ZA-EC
413,NHN Icare Gonubie Med Centre,27.993444,-32.9362,Private Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.intercare.co.za/facilities/intercare-gonubie,ZA-EC
414,Nkqubela Hospital,27.74088,-32.9328,Specialised Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/nkqubela_santa_hospital_mdantsane_eastern_cape_south_africa,ZA-EC
415,Dordrecht Hospital,27.045615,-31.3913,District Hospital,Eastern Cape,Chris Hani District Municipality,Emalahleni Local Municipality,,"Emergency department, Out Patients Department, Paediatric ward, Maternity ward, Surgical Services, Medical Services, Operating Theatre & CSSD Services, Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, Post Trauma Counseling Services, Laundry Services, Kitchen Services and Mortuary",,35,,0,0,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/dordrecht_provincially_aided_hospital_dordrecht_eastern_cape_south_africa,ZA-EC
416,Glen Grey Hospital,27.19939,-31.7199,District Hospital,Eastern Cape,Chris Hani District Municipality,Emalahleni Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,151,,0,0,,0,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/glen_grey_hospital_lady_frere_eastern_cape_south_africa,ZA-EC
417,Indwe Hospital,27.34042,-31.4683,District Hospital,Eastern Cape,Chris Hani District Municipality,Emalahleni Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,31,,0,0,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/indwe_provincial_aided_hospital_indwe_eastern_cape_south_africa,ZA-EC
418,All Saints Hospital,28.05041,-31.6619,District Hospital,Eastern Cape,Chris Hani District Municipality,Engcobo Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,244,,48,48,,7,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/all_saints_hospital_engcobo_eastern_cape_south_africa,ZA-EC
419,Mjanyana Hospital,28.1038,-31.836,District Hospital,Eastern Cape,Chris Hani District Municipality,Engcobo Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,100,,22,22,,2,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/mjanyana_hospital_ngcobo_eastern_cape_south_africa,ZA-EC
420,Hewu Hospital,26.80522,-32.1727,District Hospital,Eastern Cape,Chris Hani District Municipality,Enoch Mgijima Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,208,,80,80,,4,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/hewu_hospital_whittlesea_eastern_cape_south_africa,ZA-EC
421,Komani Hospital,26.907204,-31.9171,Specialised Hospital,Eastern Cape,Chris Hani District Municipality,Enoch Mgijima Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,440,,,,,,,,,,,ZA-EC
422,Life Queenstown Private Hospital,26.880087,-31.8979,Private Hospital,Eastern Cape,Chris Hani District Municipality,Enoch Mgijima Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,70,,15,,,,1,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/queenstown/life-queenstown-private-hospital/,ZA-EC
423,M Venter Hospital,26.25884,-32.0089,District Hospital,Eastern Cape,Chris Hani District Municipality,Enoch Mgijima Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,20,,0,0,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/martje_venter_provincial_aided_hospital_tarkastad_eastern_cape_south_africa,ZA-EC
424,Molteno Hospital,26.3555,-31.3916,District Hospital,Eastern Cape,Chris Hani District Municipality,Enoch Mgijima Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,25,,0,0,,0,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/molteno_hospital_molteno_eastern_cape_south_africa,ZA-EC
425,NHN Care Cure Queenstown Sub-Acute Hospital,26.858113,-31.8947,Private Hospital,Eastern Cape,Chris Hani District Municipality,Enoch Mgijima Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://nurturehealth.net/queenstown/,ZA-EC
426,Sterkstroom Hospital,26.55338,-31.5531,District Hospital,Eastern Cape,Chris Hani District Municipality,Enoch Mgijima Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,8,,0,0,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/sterkstroom_hospital_sterkstroom_eastern_cape_south_africa,ZA-EC
427,Cofimvaba Hospital,27.58348,-32.0119,District Hospital,Eastern Cape,Chris Hani District Municipality,Intsika Yethu Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,140,,28,28,,0,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/cofimvaba_hospital_cofimvaba_eastern_cape_south_africa,ZA-EC
428,Cradock Hospital,25.62243,-32.1673,District Hospital,Eastern Cape,Chris Hani District Municipality,Inxuba Yethemba Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,83,,0,0,,0,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/cradock_hospital_cradock_eastern_cape_south_africa,ZA-EC
429,Wilhelm Stahl Hospital,24.99351,-31.4917,District Hospital,Eastern Cape,Chris Hani District Municipality,Inxuba Yethemba Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,32,,10,10,,5,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/wilhelm_stahl_hospital_middelburg_eastern_cape_south_africa,ZA-EC
430,Cala Hospital,27.68274,-31.5223,District Hospital,Eastern Cape,Chris Hani District Municipality,Sakhisizwe Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,64,,16,16,,9,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/cala_hospital_cala_eastern_cape_south_africa,ZA-EC
431,Elliot Hospital,27.83797,-31.3371,District Hospital,Eastern Cape,Chris Hani District Municipality,Sakhisizwe Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,52,,20,20,,2,1,,,,,ZA-EC
432,Maclear Hospital,28.34775,-31.0759,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Elundini Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,38,,12,12,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/maclear_provincially_aided_hospital_maclear_eastern_cape_south_africa,ZA-EC
433,Taylor Bequest Hospital (Elu),28.50961,-30.6894,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Elundini Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,141,,16,16,,4,1,,,,,ZA-EC
434,Cloete Joubert Hospital,27.58507,-30.9676,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Senqu Local Municipali,,Services for this public hospital could not be found at the time of recording this data.,,25,,0,0,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/cloete_joubert_hospital_barkly_east_eastern_cape_south_africa,ZA-EC
435,Empilisweni Hospital,27.35337,-30.5332,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Senqu Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,93,,15,15,,2,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/empilisweni_hospital_sterkspruit_eastern_cape_south_africa,ZA-EC
436,Lady Grey Hospital,27.21188,-30.7128,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Senqu Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,30,,0,0,,0,1,,,,,ZA-EC
437,Umlamli Hospital,27.47457,-30.5604,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Senqu Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,74,,0,0,,2,2,,,,,ZA-EC
438,Aliwal North Hospital,26.70719,-30.6969,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Walter Sisulu Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,48,,10,10,,0,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/aliwal_north_hospital_aliwal_north_eastern_cape_south_africa,ZA-EC
439,Burgersdorp Hospital,26.31398,-30.9935,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Walter Sisulu Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,24,,0,0,,0,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/burgersdorp_hospital_burgersdorp_eastern_cape_south_africa,ZA-EC
440,Jamestown Hospital,26.8074,-31.1236,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Walter Sisulu Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,10,,0,0,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/jamestown_provincial_aided_hospital_jamestown_eastern_cape_south_africa,ZA-EC
441,Steynsburg Hospital,25.813211,-31.2932,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Walter Sisulu Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,28,,0,0,,0,0,,,,,ZA-EC
442,Dora Nginza Hospital,25.563114,-33.8825,Regional Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela A Health sub-District,YES,Services for this public hospital could not be found at the time of recording this data.,,650,,0,0,,0,4,,,,,ZA-EC
443,Jose Pearson TB Hospital,25.46905,-33.8919,Specialised Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela B Health sub-District,,TB and related services,,350,,,,,,,,,,,ZA-EC
444,Ventersdorp Hospital,26.818971,-26.311369,District Hospital,North West,Dr Kenneth Kaunda District Municipality,JB Marks Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,40,,10,10,,0,1,,,,,ZA-NW
445,Netcare Cuyler Hospital,25.391914,-33.765,Private Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela B Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,120,,52,,,,5,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Cuyler-Hospital,ZA-EC
446,Orsmond TB Hospital,25.38002,-33.7474,Specialised Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela B Health sub-District,,TB and related services,,201,,,,,,,,,,,ZA-EC
447,Uitenhage Hospital,25.40679,-33.7415,District Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela B Health sub-District,YES,Services for this public hospital could not be found at the time of recording this data.,,223,,40,40,,2,3,,,,,ZA-EC
448,Elizabeth Donkin Hospital,25.62671,-33.9797,Specialised Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-EC
449,Empilweni TB Hospital,25.58545,-33.9086,Specialised Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,,TB and related services,,,,,,,,,,,,,ZA-EC
450,Life Hunterscraig Hospital,25.60982,-33.9683,Private Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/port-elizabeth/life-hunterscraig-hospital/,ZA-EC
451,Life Mercantile Hospital,25.575102,-33.9306,Private Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,202,,59,,,,5,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/port-elizabeth/life-mercantile-hospital/,ZA-EC
452,Mercidoc Day Clinic,28.143963,-25.726763,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni North 1 Health sub-District,,Relevant Private Facility services – visit their website for more details,,20,,20,,,,2,,,,,ZA-EC
453,Life St George's Hospital,25.605816,-33.9678,Private Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,216,,106,,,,14,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/port-elizabeth/life-st-georges-hospital/,ZA-EC
454,Netcare Greenacres Hospital,25.579902,-33.9517,Private Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,340,,157,,,,14,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Greenacres-Hospital,ZA-EC
455,NHN Aurora Rehab Hospital,25.560195,-33.969,Private Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://nurturehealth.net/aurora/,ZA-EC
456,NHN Icare Walmer Med Centre,25.555528,-33.9913,Private Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.intercare.co.za/facilities/intercare-walmer,ZA-EC
457,Oasim Hospital,25.613479,-33.963,Private Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-EC
458,Port Elizabeth Provincial Hospital,25.59982,-33.9584,Tertiary Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,,Services for this public hospital could not be found at the time of recording this data.,,351,,208,208,,0,10,,,,,ZA-EC
459,Westways Hospital,25.558915,-33.9478,Private Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-EC
460,Holy Cross Hospital,29.49531,-31.0812,District Hospital,Eastern Cape,Oliver Tambo District Municipality,Ingquza Hill Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,224,,0,0,,1,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/holy_cross_hospital_flagstaff_eastern_cape_south_africa,ZA-EC
461,St Elizabeth's Hospital,29.56532,-31.3598,Regional Hospital,Eastern Cape,Oliver Tambo District Municipality,Ingquza Hill Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,272,,80,80,,2,3,,,,,ZA-EC
462,Bedford Orth Hospital,28.70717,-31.576,Specialised Hospital,Eastern Cape,Oliver Tambo District Municipality,King Sabata Dalindyebo Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-EC
463,Life St Mary's Private Hospital,28.785432,-31.5909,Private Hospital,Eastern Cape,Oliver Tambo District Municipality,King Sabata Dalindyebo Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,131,,38,,,,3,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/mthatha/life-st-marys-private-hospital/,ZA-EC
464,Mthatha Chest Hospital,28.76497,-31.5911,Specialised Hospital,Eastern Cape,Oliver Tambo District Municipality,King Sabata Dalindyebo Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-EC
465,Mthatha General Hospital,28.76593,-31.5903,Regional Hospital,Eastern Cape,Oliver Tambo District Municipality,King Sabata Dalindyebo Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,348,,60,60,,10,7,,,,,ZA-EC
466,Nelson Mandela Academic Hospital,28.764234,-31.5881,Central Hospital,Eastern Cape,Oliver Tambo District Municipality,King Sabata Dalindyebo Local Municipality,,"Emergency department, Paediatric ward, Maternity ward, Obstetrics/Gynecology, Out Patients Department, Surgical Services, Medical Services, Operating Theatre & CSSD Services, Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, Post Trauma Counseling Services, Ophthalmology Out-patients Clinic, Occupational Services, X-Ray Services, Physiotherapy, NHLS Laboratory, Oral Health Care Provides, Laundry Services, Kitchen Services and Mortuary.",,520,,180,180,,16,11,,,,,ZA-EC
467,NHN Crossmed Mthatha Private Hospital,28.761941,-31.5938,Private Hospital,Eastern Cape,Oliver Tambo District Municipality,King Sabata Dalindyebo Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-EC
468,NHN Mthatha Sub-Acute Hospital,28.785204,-31.5913,Private Hospital,Eastern Cape,Oliver Tambo District Municipality,King Sabata Dalindyebo Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-EC
469,ZitHulele Hospital,29.09162,-32.0505,District Hospital,Eastern Cape,Oliver Tambo District Municipality,King Sabata Dalindyebo Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,130,,25,25,,13,1,,,,http://www.zithulele.org/hospital-services.html,ZA-EC
470,Dr Malizo Mpehle Hospital,28.778056,-31.3165,District Hospital,Eastern Cape,Oliver Tambo District Municipality,Mhlontlo Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,155,,30,30,,0,1,,,,,ZA-EC
471,Nessie Knight Hospital,28.68223,-31.0091,District Hospital,Eastern Cape,Oliver Tambo District Municipality,Mhlontlo Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,150,,30,30,,2,1,,,,,ZA-EC
472,St Lucy's Hospital,28.62983,-31.3007,District Hospital,Eastern Cape,Oliver Tambo District Municipality,Mhlontlo Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,40,,0,0,,0,0,,,,,ZA-EC
473,Canzibe Hospital,29.06588,-31.8088,District Hospital,Eastern Cape,Oliver Tambo District Municipality,Nyandeni Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,140,,0,0,,0,1,,,,https://canzibe.wordpress.com/,ZA-EC
474,St Barnabas Hospital,29.11617,-31.5642,District Hospital,Eastern Cape,Oliver Tambo District Municipality,Nyandeni Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,169,,0,0,,0,0,,,,,ZA-EC
475,Bambisana Hospital,29.45397,-31.4501,District Hospital,Eastern Cape,Oliver Tambo District Municipality,Port St Johns Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,120,,0,0,,0,1,,,,,ZA-EC
476,Isilimela Hospital,29.35888,-31.7342,District Hospital,Eastern Cape,Oliver Tambo District Municipality,Port St Johns Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,110,,0,0,,2,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/isilimela_hospital_port_st_john%27s_eastern_cape_south_africa,ZA-EC
477,Andries Vosloo Hospital,25.59525,-32.7218,District Hospital,Eastern Cape,Sarah Baartman District Municipality,Blue Crane Route Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,74,,16,16,,8,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/andries_vosloo_hospital_somerset_east_eastern_cape_south_africa,ZA-EC
478,Aberdeen Hospital,24.06093,-32.4862,District Hospital,Eastern Cape,Sarah Baartman District Municipality,Dr Beyers Naudé Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,18,,0,0,,0,0,,,,,ZA-EC
479,Margery Parkes TB Hospital,24.55619,-32.2678,Specialised Hospital,Eastern Cape,Sarah Baartman District Municipality,Dr Beyers Naudé Local Municipality,,TB and related services,,80,,,,,,,,,,,ZA-EC
480,Sawas Hospital,24.66203,-32.9422,District Hospital,Eastern Cape,Sarah Baartman District Municipality,Dr Beyers Naudé Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,38,,6,6,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/sawas_memorial_hospital_jansenville_eastern_cape_south_africa,ZA-EC
481,Willowmore Hospital,23.46757,-33.3004,District Hospital,Eastern Cape,Sarah Baartman District Municipality,Dr Beyers Naudé Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,25,,0,0,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/willowmore_provincial_aided_hospital_willowmore_eastern_cape_south_africa,ZA-EC
482,Life Isivivana Hospital,24.780218,-34.0299,Private Hospital,Eastern Cape,Sarah Baartman District Municipality,Kouga Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,33,,12,,,,1,,,,https://www.lifehealthcare.co.za/hospitals/eastern-cape/port-elizabeth/life-isivivana-hospital/,ZA-EC
